medal date,medal type,medal code, Player name,gender,country
10-08-24,Silver Medal,2,TARCIANE,Female,Brazil
10-08-24,Silver Medal,2,RAFAELLE,Female,Brazil
10-08-24,Silver Medal,2,DUDA SAMPAIO,Female,Brazil
10-08-24,Silver Medal,2,TAMIRES,Female,Brazil
10-08-24,Silver Medal,2,KEROLIN,Female,Brazil
10-08-24,Silver Medal,2,VITORIA YAYA,Female,Brazil
10-08-24,Silver Medal,2,ADRIANA,Female,Brazil
10-08-24,Silver Medal,2,MARTA,Female,Brazil
10-08-24,Silver Medal,2,JHENIFFER,Female,Brazil
10-08-24,Silver Medal,2,TAINA,Female,Brazil
10-08-24,Silver Medal,2,YASMIM,Female,Brazil
10-08-24,Silver Medal,2,LUDMILA,Female,Brazil
10-08-24,Silver Medal,2,THAIS,Female,Brazil
10-08-24,Silver Medal,2,GABI NUNES,Female,Brazil
10-08-24,Silver Medal,2,ANA VITORIA,Female,Brazil
10-08-24,Silver Medal,2,GABI PORTILHO,Female,Brazil
10-08-24,Silver Medal,2,PRISCILA,Female,Brazil
10-08-24,Silver Medal,2,ANGELINA,Female,Brazil
10-08-24,Silver Medal,2,LAUREN,Female,Brazil
10-08-24,Silver Medal,2,LUCIANA,Female,Brazil
10-08-24,Gold Medal,1,KRISTIANSEN Veronica,Female,Norway
10-08-24,Gold Medal,1,AARDAHL Maren,Female,Norway
10-08-24,Gold Medal,1,SKOGRAND Stine,Female,Norway
10-08-24,Gold Medal,1,MOERK Nora,Female,Norway
10-08-24,Gold Medal,1,OFTEDAL Stine Bredal,Female,Norway
10-08-24,Gold Medal,1,SOLBERG-OESTHASSEL Silje,Female,Norway
10-08-24,Gold Medal,1,BRATTSET DALE Kari,Female,Norway
10-08-24,Gold Medal,1,BREISTOEL Kristine,Female,Norway
10-08-24,Gold Medal,1,INGSTAD Vilde,Female,Norway
10-08-24,Gold Medal,1,LUNDE Katrine,Female,Norway
10-08-24,Gold Medal,1,JACOBSEN Marit,Female,Norway
10-08-24,Gold Medal,1,HERREM Camilla,Female,Norway
10-08-24,Gold Medal,1,SOLBERG-ISAKSEN Sanna,Female,Norway
10-08-24,Gold Medal,1,REISTAD Henny,Female,Norway
10-08-24,Gold Medal,1,RUSHFELDT DEILA Thale,Female,Norway
10-08-24,Silver Medal,2,GLAUSER Laura,Female,France
10-08-24,Silver Medal,2,NOCANDY Meline,Female,France
10-08-24,Silver Medal,2,TOUBLANC Alicia,Female,France
10-08-24,Silver Medal,2,VALENTINI Chloe,Female,France
10-08-24,Silver Medal,2,LASSOURCE Coralie,Female,France
10-08-24,Silver Medal,2,ZAADI DEUNA Grace,Female,France
10-08-24,Silver Medal,2,DARLEUX MINGAM Cleopatre,Female,France
10-08-24,Silver Medal,2,FLIPPES Laura,Female,France
10-08-24,Silver Medal,2,KANOR Orlane,Female,France
10-08-24,Silver Medal,2,HORACEK Tamara,Female,France
10-08-24,Silver Medal,2,FOPPA Pauletta,Female,France
10-08-24,Silver Medal,2,NZE MINKO Estelle,Female,France
10-08-24,Silver Medal,2,ONDONO Onacia,Female,France
10-08-24,Silver Medal,2,GRANIER Lucie,Female,France
10-08-24,Silver Medal,2,BOUKTIT Sarah,Female,France
10-08-24,Silver Medal,2,GRANDVEAU Lena,Female,France
10-08-24,Silver Medal,2,SAKO Hatadou,Female,France
10-08-24,Bronze Medal,3,TOFT Sandra,Female,Denmark
10-08-24,Bronze Medal,3,AABERG IVERSEN Sarah,Female,Denmark
10-08-24,Bronze Medal,3,ELVER Helena,Female,Denmark
10-08-24,Bronze Medal,3,HANSEN Anne Mette,Female,Denmark
10-08-24,Bronze Medal,3,HEINDAHL Kathrine,Female,Denmark
10-08-24,Bronze Medal,3,HAUGSTED Line,Female,Denmark
10-08-24,Bronze Medal,3,REINHARDT Althea,Female,Denmark
10-08-24,Bronze Medal,3,TRANBORG Mette,Female,Denmark
10-08-24,Bronze Medal,3,JOERGENSEN Kristina,Female,Denmark
10-08-24,Bronze Medal,3,OESTERGAARD Trine,Female,Denmark
10-08-24,Bronze Medal,3,VINTER BURGAARD Louise,Female,Denmark
10-08-24,Bronze Medal,3,HOEJLUND Mie,Female,Denmark
10-08-24,Bronze Medal,3,FRIIS Emma,Female,Denmark
10-08-24,Bronze Medal,3,IVERSEN Rikke,Female,Denmark
10-08-24,Bronze Medal,3,MOELLER Michala,Female,Denmark
10-08-24,Gold Medal,1,CHEN Meng,Female,China
10-08-24,Gold Medal,1,SUN Yingsha,Female,China
10-08-24,Gold Medal,1,WANG Manyu,Female,China
10-08-24,Silver Medal,2,HAYATA Hina,Female,Japan
10-08-24,Silver Medal,2,HARIMOTO Miwa,Female,Japan
10-08-24,Silver Medal,2,HIRANO Miu,Female,Japan
10-08-24,Bronze Medal,3,SHIN Yubin,Female,Korea
10-08-24,Bronze Medal,3,JEON Jihee,Female,Korea
10-08-24,Bronze Medal,3,LEE Eunhye,Female,Korea
10-08-24,Gold Medal,1,GREBENNIKOV Jenia,Male,France
10-08-24,Gold Medal,1,CHINENYEZE Barthelemy,Male,France
10-08-24,Gold Medal,1,JOUFFROY Quentin,Male,France
10-08-24,Gold Medal,1,le GOFF Nicolas,Male,France
10-08-24,Gold Medal,1,FAURE Theo,Male,France
10-08-24,Gold Medal,1,PATRY Jean,Male,France
10-08-24,Gold Medal,1,BRIZARD Antoine,Male,France
10-08-24,Gold Medal,1,TONIUTTI Benjamin,Male,France
10-08-24,Gold Medal,1,CLEVENOT Trevor,Male,France
10-08-24,Gold Medal,1,LOUATI Yacine,Male,France
10-08-24,Gold Medal,1,NGAPETH Earvin,Male,France
10-08-24,Gold Medal,1,TILLIE Kevin,Male,France
10-08-24,Gold Medal,1,CARLE Timothee,Male,France
10-08-24,Silver Medal,2,KACZMAREK Lukasz,Male,Poland
10-08-24,Silver Medal,2,KUREK Bartosz,Male,Poland
10-08-24,Silver Medal,2,LEON VENERO Wilfredo,Male,Poland
10-08-24,Silver Medal,2,SLIWKA Aleksander,Male,Poland
10-08-24,Silver Medal,2,LOMACZ Grzegorz,Male,Poland
10-08-24,Silver Medal,2,KOCHANOWSKI Jakub,Male,Poland
10-08-24,Silver Medal,2,SEMENIUK Kamil,Male,Poland
10-08-24,Silver Medal,2,ZATORSKI Pawel,Male,Poland
10-08-24,Silver Medal,2,JANUSZ Marcin,Male,Poland
10-08-24,Silver Medal,2,BIENIEK Mateusz,Male,Poland
10-08-24,Silver Medal,2,FORNAL Tomasz,Male,Poland
10-08-24,Silver Medal,2,HUBER Norbert,Male,Poland
10-08-24,Silver Medal,2,BOLADZ Bartlomiej,Male,Poland
10-08-24,Bronze Medal,3,DUARTE ALECRIM Diana,Female,Brazil
10-08-24,Bronze Medal,3,ALEXANDRE COSTA NUNES Nyeme Victor,Female,Brazil
10-08-24,Bronze Medal,3,SILVA CARNEIRO Macris Fernanda,Female,Brazil
10-08-24,Bronze Medal,3,DAHER de MENEZES Thaisa,Female,Brazil
10-08-24,Bronze Medal,3,MONTIBELLER Rosamaria,Female,Brazil
10-08-24,Bronze Medal,3,RATZKE Roberta Silva,Female,Brazil
10-08-24,Bronze Medal,3,BRAGA GUIMARAES Gabriela,Female,Brazil
10-08-24,Bronze Medal,3,MENEZES OLIVEIRA de SOUZA Ana Cris,Female,Brazil
10-08-24,Bronze Medal,3,da SILVA Ana Carolina,Female,Brazil
10-08-24,Bronze Medal,3,BERGMANN Julia Isabelle,Female,Brazil
10-08-24,Bronze Medal,3,LEMES SANTOS Tainara,Female,Brazil
10-08-24,Bronze Medal,3,GERALDO TEIXEIRA Lorenne,Female,Brazil
10-08-24,Bronze Medal,3,ARAUJO Natalia,Female,Brazil
10-08-24,Gold Medal,1,ESTER RAMOS Laura,Female,Spain
10-08-24,Gold Medal,1,PIRALKOVA COELLO Isabel,Female,Spain
10-08-24,Gold Medal,1,ESPAR LLAQUET Anni,Female,Spain
10-08-24,Gold Medal,1,ORTIZ Bea,Female,Spain
10-08-24,Gold Medal,1,PEREZ VIVAS Nona,Female,Spain
10-08-24,Gold Medal,1,CRESPI BARRIGA Paula,Female,Spain
10-08-24,Gold Medal,1,RUIZ BARRIL Elena,Female,Spain
10-08-24,Gold Medal,1,PENA Pili,Female,Spain
10-08-24,Gold Medal,1,FORCA ARIZA Judith,Female,Spain
10-08-24,Gold Medal,1,CAMUS Paula,Female,Spain
10-08-24,Gold Medal,1,GARCIA GODOY Maica,Female,Spain
10-08-24,Gold Medal,1,LEITON ARRONES Paula,Female,Spain
10-08-24,Gold Medal,1,TERRE Martina,Female,Spain
10-08-24,Silver Medal,2,PALM Gabriella,Female,Australia
10-08-24,Silver Medal,2,GOFERS Keesja,Female,Australia
10-08-24,Silver Medal,2,ARMIT Elle,Female,Australia
10-08-24,Silver Medal,2,HALLIGAN Bronte,Female,Australia
10-08-24,Silver Medal,2,GREEN Sienna,Female,Australia
10-08-24,Silver Medal,2,ANDREWS Abby,Female,Australia
10-08-24,Silver Medal,2,ANDREWS Charlize,Female,Australia
10-08-24,Silver Medal,2,HEARN Sienna,Female,Australia
10-08-24,Silver Medal,2,ARANCINI Zoe,Female,Australia
10-08-24,Silver Medal,2,WILLIAMS Alice,Female,Australia
10-08-24,Silver Medal,2,KEARNS Tilly,Female,Australia
10-08-24,Silver Medal,2,JACKOVICH Danijela,Female,Australia
10-08-24,Silver Medal,2,LONGMAN Genevieve,Female,Australia
10-08-24,Bronze Medal,3,AARTS Laura,Female,Netherlands
10-08-24,Bronze Medal,3,WOLVES Iris,Female,Netherlands
10-08-24,Bronze Medal,3,SLEEKING Brigitte,Female,Netherlands
10-08-24,Bronze Medal,3,van der SLOOT Sabrina,Female,Netherlands
10-08-24,Bronze Medal,3,KEUNING Maartje,Female,Netherlands
10-08-24,Bronze Medal,3,van de KRAATS Simone,Female,Netherlands
10-08-24,Bronze Medal,3,ROGGE Bente,Female,Netherlands
10-08-24,Bronze Medal,3,SEVENICH Vivian,Female,Netherlands
10-08-24,Bronze Medal,3,JOUSTRA Kittylynn,Female,Netherlands
10-08-24,Bronze Medal,3,ROGGE Lieke,Female,Netherlands
10-08-24,Bronze Medal,3,MOOLHUIJZEN Lola,Female,Netherlands
10-08-24,Bronze Medal,3,TEN BROEK Nina,Female,Netherlands
10-08-24,Bronze Medal,3,BUIS Sarah,Female,Netherlands
11-08-24,Gold Medal,1,LOYD Jewell,Female,United States
11-08-24,Gold Medal,1,PLUM Kelsey,Female,United States
11-08-24,Gold Medal,1,IONESCU Sabrina,Female,United States
11-08-24,Gold Medal,1,COPPER Kahleah,Female,United States
11-08-24,Gold Medal,1,GRAY Chelsea,Female,United States
11-08-24,Gold Medal,1,WILSON A'ja,Female,United States
11-08-24,Gold Medal,1,STEWART Breanna,Female,United States
11-08-24,Gold Medal,1,COLLIER Napheesa,Female,United States
11-08-24,Gold Medal,1,TAURASI Diana,Female,United States
11-08-24,Gold Medal,1,YOUNG Jackie,Female,United States
11-08-24,Gold Medal,1,THOMAS Alyssa,Female,United States
11-08-24,Gold Medal,1,GRINER Brittney,Female,United States
11-08-24,Silver Medal,2,FAUTHOUX Marine,Female,France
11-08-24,Silver Medal,2,CHERY Alexia,Female,France
11-08-24,Silver Medal,2,MICHEL BOURY Sarah,Female,France
11-08-24,Silver Medal,2,AYAYI Valeriane,Female,France
11-08-24,Silver Medal,2,RUPERT Iliana,Female,France
11-08-24,Silver Medal,2,SALAUN Janelle,Female,France
11-08-24,Silver Medal,2,MALONGA Dominique,Female,France
11-08-24,Silver Medal,2,WILLIAMS Gabby,Female,France
11-08-24,Silver Medal,2,BADIANE Marieme,Female,France
11-08-24,Silver Medal,2,JOHANNES Marine,Female,France
11-08-24,Silver Medal,2,LACAN Leila,Female,France
11-08-24,Silver Medal,2,BERNIES Romane,Female,France
11-08-24,Bronze Medal,3,MELBOURNE Jade,Female,Australia
11-08-24,Bronze Medal,3,WALLACE Kristy,Female,Australia
11-08-24,Bronze Medal,3,TALBOT Steph,Female,Australia
11-08-24,Bronze Medal,3,MADGEN Tess,Female,Australia
11-08-24,Bronze Medal,3,SMITH Alanna,Female,Australia
11-08-24,Bronze Medal,3,MAGBEGOR Ezi,Female,Australia
11-08-24,Bronze Medal,3,TOLO Marianna,Female,Australia
11-08-24,Bronze Medal,3,GEORGE Cayla,Female,Australia
11-08-24,Bronze Medal,3,ATWELL Amy,Female,Australia
11-08-24,Bronze Medal,3,BORLASE Isobel,Female,Australia
11-08-24,Bronze Medal,3,JACKSON Lauren,Female,Australia
11-08-24,Bronze Medal,3,WHITCOMB Sami,Female,Australia
11-08-24,Gold Medal,1,JACOBSEN Niklas Landin,Male,Denmark
11-08-24,Gold Medal,1,KIRKELOEKKE Niclas,Male,Denmark
11-08-24,Gold Medal,1,JACOBSEN Magnus Landin,Male,Denmark
11-08-24,Gold Medal,1,JAKOBSEN Emil,Male,Denmark
11-08-24,Gold Medal,1,LAUGE Rasmus,Male,Denmark
11-08-24,Gold Medal,1,NIELSEN Emil,Male,Denmark
11-08-24,Gold Medal,1,SAUGSTRUP Magnus,Male,Denmark
11-08-24,Gold Medal,1,LINDBERG Hans,Male,Denmark
11-08-24,Gold Medal,1,GIDSEL Mathias,Male,Denmark
11-08-24,Gold Medal,1,MOELLGAARD Henrik,Male,Denmark
11-08-24,Gold Medal,1,HANSEN Mikkel,Male,Denmark
11-08-24,Gold Medal,1,JOERGENSEN Lukas,Male,Denmark
11-08-24,Gold Medal,1,ANDERSSON Lasse,Male,Denmark
11-08-24,Gold Medal,1,HALD Simon,Male,Denmark
11-08-24,Gold Medal,1,ARNOLDSEN Thomas,Male,Denmark
11-08-24,Gold Medal,1,PYTLICK Simon,Male,Denmark
11-08-24,Silver Medal,2,SPAETH David,Male,Germany
11-08-24,Silver Medal,2,GOLLA Johannes,Male,Germany
11-08-24,Silver Medal,2,WITZKE Luca,Male,Germany
11-08-24,Silver Medal,2,HEYMANN Sebastian,Male,Germany
11-08-24,Silver Medal,2,FISCHER Justus,Male,Germany
11-08-24,Silver Medal,2,KNORR Juri,Male,Germany
11-08-24,Silver Medal,2,KOESTER Julian,Male,Germany
11-08-24,Silver Medal,2,USCINS Renars,Male,Germany
11-08-24,Silver Medal,2,HAEFNER Kai,Male,Germany
11-08-24,Silver Medal,2,HORNKE Tim,Male,Germany
11-08-24,Silver Medal,2,WOLFF Andreas,Male,Germany
11-08-24,Silver Medal,2,DAHMKE Rune,Male,Germany
11-08-24,Silver Medal,2,MERTENS Lukas,Male,Germany
11-08-24,Silver Medal,2,STEINERT Christoph,Male,Germany
11-08-24,Silver Medal,2,GRGIC Marko,Male,Germany
11-08-24,Silver Medal,2,KOHLBACHER Jannik,Male,Germany
11-08-24,Bronze Medal,3,PEREZ de VARGAS Gonzalo,Male,Spain
11-08-24,Bronze Medal,3,MAQUEDA Jorge,Male,Spain
11-08-24,Bronze Medal,3,DUJSHEBAEV Alex,Male,Spain
11-08-24,Bronze Medal,3,CORRALES Rodrigo,Male,Spain
11-08-24,Bronze Medal,3,FIGUERAS Adrian,Male,Spain
11-08-24,Bronze Medal,3,GARCIANDIA Imanol,Male,Spain
11-08-24,Bronze Medal,3,SERDIO Abel,Male,Spain
11-08-24,Bronze Medal,3,CASADO Agustin,Male,Spain
11-08-24,Bronze Medal,3,GOMEZ Aleix,Male,Spain
11-08-24,Bronze Medal,3,TARRAFETA Ian,Male,Spain
11-08-24,Bronze Medal,3,SANCHEZ-MIGALLON Miguel,Male,Spain
11-08-24,Bronze Medal,3,DUJSHEBAEV Daniel,Male,Spain
11-08-24,Bronze Medal,3,ODRIOZOLA Kauldi,Male,Spain
11-08-24,Bronze Medal,3,FERNANDEZ Daniel,Male,Spain
11-08-24,Bronze Medal,3,RODRIGUEZ Javier,Male,Spain
11-08-24,Gold Medal,1,CAMBI Carlotta,Female,Italy
11-08-24,Gold Medal,1,de GENNARO Monica,Female,Italy
11-08-24,Gold Medal,1,ORRO Alessia,Female,Italy
11-08-24,Gold Medal,1,BOSETTI Caterina Chiara,Female,Italy
11-08-24,Gold Medal,1,DANESI Anna,Female,Italy
11-08-24,Gold Medal,1,SYLLA Myriam Fatime,Female,Italy
11-08-24,Gold Medal,1,EGONU Paola Ogechi,Female,Italy
11-08-24,Gold Medal,1,FAHR Sarah Luisa,Female,Italy
11-08-24,Gold Medal,1,ANTROPOVA Ekaterina,Female,Italy
11-08-24,Gold Medal,1,GIOVANNINI Gaia,Female,Italy
11-08-24,Gold Medal,1,SPIRITO Ilaria,Female,Italy
11-08-24,Gold Medal,1,LUBIAN Marina,Female,Italy
11-08-24,Gold Medal,1,OMORUYI Oghosasere Loveth,Female,Italy
11-08-24,Silver Medal,2,SKINNER Avery,Female,United States
11-08-24,Silver Medal,2,RETTKE Dana,Female,United States
11-08-24,Silver Medal,2,ROBINSON Kelsey,Female,United States
11-08-24,Silver Medal,2,THOMPSON Jordan,Female,United States
11-08-24,Silver Medal,2,WASHINGTON Haleigh,Female,United States
11-08-24,Silver Medal,2,WONG-ORANTES Justine,Female,United States
11-08-24,Silver Medal,2,POULTER Jordyn,Female,United States
11-08-24,Silver Medal,2,CARLINI Lauren,Female,United States
11-08-24,Silver Medal,2,LARSON Jordan,Female,United States
11-08-24,Silver Medal,2,DREWS Andrea,Female,United States
11-08-24,Silver Medal,2,PLUMMER Kathryn,Female,United States
11-08-24,Silver Medal,2,OGBOGU Chiaka,Female,United States
11-08-24,Silver Medal,2,HANCOCK Micha,Female,United States
11-08-24,Gold Medal,1,FILIPOVIC Radoslav,Male,Serbia
11-08-24,Gold Medal,1,MANDIC Dusan,Male,Serbia
11-08-24,Gold Medal,1,RASOVIC Strahinja,Male,Serbia
11-08-24,Gold Medal,1,RANDELOVIC Sava,Male,Serbia
11-08-24,Gold Medal,1,CUK Milos,Male,Serbia
11-08-24,Gold Medal,1,DEDOVIC Nikola,Male,Serbia
11-08-24,Gold Medal,1,DRASOVIC Radomir,Male,Serbia
11-08-24,Gold Medal,1,JAKSIC Nikola,Male,Serbia
11-08-24,Gold Medal,1,VICO Nemanja,Male,Serbia
11-08-24,Gold Medal,1,UBOVIC Nemanja,Male,Serbia
11-08-24,Gold Medal,1,RASOVIC Viktor,Male,Serbia
11-08-24,Gold Medal,1,JAKSIC Petar,Male,Serbia
11-08-24,Gold Medal,1,MISOVIC Vladimir,Male,Serbia
11-08-24,Silver Medal,2,BIJAC Marko,Male,Croatia
11-08-24,Silver Medal,2,BURIC Rino,Male,Croatia
11-08-24,Silver Medal,2,FATOVIC Loren,Male,Croatia
11-08-24,Silver Medal,2,LONCAR Luka,Male,Croatia
11-08-24,Silver Medal,2,JOKOVIC Maro,Male,Croatia
11-08-24,Silver Medal,2,BUKIC Luka,Male,Croatia
11-08-24,Silver Medal,2,VUKICEVIC Ante,Male,Croatia
11-08-24,Silver Medal,2,ZUVELA Marko,Male,Croatia
11-08-24,Silver Medal,2,MARINIC KRAGIC Jerko,Male,Croatia
11-08-24,Silver Medal,2,VRLIC Josi,Male,Croatia
11-08-24,Silver Medal,2,BILJAKA Matias,Male,Croatia
11-08-24,Silver Medal,2,KHARKOV Konstantin,Male,Croatia
11-08-24,Silver Medal,2,POPADIC Toni,Male,Croatia
11-08-24,Bronze Medal,3,WEINBERG Adrian,Male,United States
11-08-24,Bronze Medal,3,HOOPER Johnny,Male,United States
11-08-24,Bronze Medal,3,VAVIC Marko,Male,United States
11-08-24,Bronze Medal,3,OBERT Alex,Male,United States
11-08-24,Bronze Medal,3,DAUBE Hannes,Male,United States
11-08-24,Bronze Medal,3,CUPIDO Luca,Male,United States
11-08-24,Bronze Medal,3,HALLOCK Ben,Male,United States
11-08-24,Bronze Medal,3,WOODHEAD Dylan,Male,United States
11-08-24,Bronze Medal,3,BOWEN Alex,Male,United States
11-08-24,Bronze Medal,3,DODD Chase William,Male,United States
11-08-24,Bronze Medal,3,DODD Ryder,Male,United States
11-08-24,Bronze Medal,3,IRVING Max,Male,United States
11-08-24,Bronze Medal,3,HOLLAND Drew,Male,United States
10-08-24,Gold Medal,1,DING Xinyi,Female,China
10-08-24,Gold Medal,1,GUO Qiqi,Female,China
10-08-24,Gold Medal,1,HAO Ting,Female,China
10-08-24,Gold Medal,1,HUANG Zhangjiayang,Female,China
10-08-24,Gold Medal,1,WANG Lanjing,Female,China
10-08-24,Silver Medal,2,BAKANOV Shani,Female,Israel
10-08-24,Silver Medal,2,FRIEDMANN Adar,Female,Israel
10-08-24,Silver Medal,2,PARITZKI Romi,Female,Israel
10-08-24,Silver Medal,2,SHAHAM Ofir,Female,Israel
10-08-24,Silver Medal,2,SVERTSOV Diana,Female,Israel
10-08-24,Bronze Medal,3,CENTOFANTI Martina,Female,Italy
10-08-24,Bronze Medal,3,DURANTI Agnese,Female,Italy
10-08-24,Bronze Medal,3,MAURELLI Alessia,Female,Italy
10-08-24,Bronze Medal,3,MOGUREAN Daniela,Female,Italy
10-08-24,Bronze Medal,3,PARIS Laura,Female,Italy
